                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1367,                 9.0173,                 2.0204,                0.69094,                0.08095,                0.06087,                0.02526,                 2.4808,                  4.745,                 2.4137,               0.070714,               0.003254,               0.003254
                      1,                 1.9166,                  3.167,                 1.8142,                0.70513,                0.12924,                0.12807,                 0.0632,                 2.2322,                 4.0301,                 2.1295,               0.040497,              0.0063699,              0.0063699
                      2,                 1.8439,                 2.6559,                 1.7296,                0.68075,                0.22995,                 0.2688,                0.13354,                 2.1619,                 3.7616,                 2.0337,                0.01006,              0.0092659,              0.0092659
                      3,                 1.9074,                 2.6784,                 1.7177,                0.30219,                0.25991,                0.14904,                0.06762,                 2.2664,                 3.7676,                 2.1679,                0.00901,                0.00901,                0.00901
                      4,                 1.9785,                 2.6733,                  1.761,                0.29187,                0.19592,                0.22113,                0.11316,                 2.2579,                 3.0739,                 2.1202,                0.00901,                0.00901,                0.00901
                      5,                 1.9579,                 2.5324,                 1.7388,                0.45588,                0.23234,                0.21456,                0.10537,                 2.2111,                 3.2124,                 2.1313,                0.00868,                0.00868,                0.00868
                      6,                 1.9697,                 2.4251,                 1.7568,                0.88954,                 0.1619,                0.22135,                0.09205,                 2.4043,                 3.4045,                 2.2662,                0.00835,                0.00835,                0.00835
                      7,                 1.8956,                 2.3447,                  1.711,                0.34466,                0.18064,                0.16552,                 0.0719,                 2.4433,                 3.5826,                 2.3003,                0.00802,                0.00802,                0.00802
                      8,                 1.8939,                 2.3246,                  1.703,                0.87045,                0.17589,                0.26301,                0.12915,                 2.1652,                  2.879,                 2.2255,                0.00769,                0.00769,                0.00769
                      9,                 1.8029,                 2.1841,                 1.6637,                0.45762,                0.28037,                0.21355,                0.09779,                 2.4287,                 3.3469,                 2.2963,                0.00736,                0.00736,                0.00736
                     10,                 1.8506,                 2.1993,                 1.6501,                0.50163,                0.30186,                 0.2448,                0.12674,                 2.2409,                 3.4129,                 2.1881,                0.00703,                0.00703,                0.00703
                     11,                 1.8294,                 2.1415,                 1.6435,                0.63022,                0.25655,                0.26572,                0.12846,                 2.1253,                  3.019,                 2.0811,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.8104,                 2.1374,                 1.6401,                0.36119,                0.36227,                0.37817,                0.20262,                 2.0225,                 2.4454,                 1.9784,                0.00637,                0.00637,                0.00637
                     13,                 1.7809,                 2.0219,                 1.5894,                0.74585,                0.24325,                0.30762,                0.15321,                 2.1693,                 2.9208,                 2.1301,                0.00604,                0.00604,                0.00604
                     14,                 1.7819,                 2.0231,                 1.6282,                0.66493,                0.26876,                0.30633,                0.15368,                 2.1062,                 2.6548,                 2.0121,                0.00571,                0.00571,                0.00571
                     15,                 1.6898,                 1.9435,                 1.5917,                0.39129,                0.31495,                0.29569,                0.14777,                 2.3208,                  3.288,                 2.2874,                0.00538,                0.00538,                0.00538
                     16,                 1.6744,                 1.8185,                 1.5316,                0.53967,                0.41139,                0.37708,                0.19609,                 2.0387,                 2.3298,                 1.8831,                0.00505,                0.00505,                0.00505
                     17,                 1.6731,                 1.8327,                 1.5155,                0.43883,                0.44666,                0.44516,                0.24826,                 1.9773,                 2.2234,                 1.8899,                0.00472,                0.00472,                0.00472
                     18,                 1.6291,                 1.7218,                    1.5,                0.33104,                0.44153,                0.41915,                0.21837,                 2.0254,                 2.3076,                 1.9195,                0.00439,                0.00439,                0.00439
                     19,                 1.6266,                 1.6968,                 1.4981,                0.39622,                0.47493,                0.40063,                0.19464,                 1.9463,                 2.2985,                 1.8588,                0.00406,                0.00406,                0.00406
                     20,                 1.7069,                 1.8749,                 1.6111,                0.42888,                0.43565,                0.43824,                0.22591,                 1.9015,                 2.1844,                 1.8686,                0.00373,                0.00373,                0.00373
                     21,                 1.6055,                 1.7264,                 1.5193,                 0.5136,                0.48096,                 0.4529,                0.23689,                 1.9766,                 2.1608,                 1.8591,                 0.0034,                 0.0034,                 0.0034
                     22,                  1.594,                 1.6838,                 1.5409,                 0.5058,                0.45274,                0.46248,                0.23845,                 1.9761,                 2.0933,                 1.8622,                0.00307,                0.00307,                0.00307
                     23,                 1.5354,                 1.5794,                 1.5132,                0.49059,                0.45606,                0.46128,                0.23633,                 1.9751,                 2.1288,                 1.8577,                0.00274,                0.00274,                0.00274
                     24,                 1.5083,                 1.4906,                 1.4828,                0.51516,                0.44819,                0.47603,                0.22044,                 1.8537,                 2.2477,                 1.7625,                0.00241,                0.00241,                0.00241
                     25,                 1.4653,                 1.4318,                 1.4482,                0.55443,                0.47665,                0.48447,                0.22142,                  1.936,                 2.1044,                 1.8381,                0.00208,                0.00208,                0.00208
                     26,                   1.44,                 1.3759,                 1.4055,                0.41323,                0.57402,                0.46268,                 0.2448,                 1.9064,                 2.0506,                 1.8499,                0.00175,                0.00175,                0.00175
                     27,                 1.4067,                 1.3134,                 1.4079,                0.60287,                0.47418,                0.49949,                0.25567,                  1.926,                 2.0049,                 1.8451,                0.00142,                0.00142,                0.00142
                     28,                 1.4048,                 1.2921,                 1.3958,                 0.5226,                0.50968,                0.49417,                0.25175,                 1.9773,                 2.0419,                 1.8565,                0.00109,                0.00109,                0.00109
                     29,                 1.3605,                 1.2389,                 1.3747,                 0.6038,                0.52435,                 0.5098,                0.25288,                  1.935,                 2.0293,                 1.8127,                0.00076,                0.00076,                0.00076
